surface,rooms,bathrooms,location,city,property_type,floor,total_floors,parking,has_garden,has_pool,year_built,price
296,3,4,Sousse,Sousse,apartment,9,3,True,False,False,2011,557948
334,6,4,Sousse,Sousse,apartment,4,1,False,False,False,2019,704205
253,2,2,Bizerte,Bizerte,house,0,5,False,True,False,2022,601150
271,5,3,Kairouan,Kairouan,villa,0,6,False,True,True,1994,1073117
339,4,3,Gabès,Gabès,house,0,3,False,True,False,2021,608095
374,5,4,Sousse,Sousse,house,0,8,False,False,False,2005,616696
433,3,4,Gabès,Gabès,villa,0,8,True,True,True,2001,1394024
212,4,1,Bizerte,Bizerte,house,0,1,True,False,False,2001,555609
466,2,3,Sousse,Sousse,apartment,1,3,False,False,False,2012,921561
139,5,2,Bizerte,Bizerte,villa,0,2,True,True,False,1996,466762
363,5,2,Nabeul,Nabeul,villa,0,8,False,True,False,2014,1811224
298,4,2,Gabès,Gabès,apartment,4,9,False,False,False,2013,236254
276,1,3,Ariana,Tunis,villa,0,4,False,True,False,2007,1482053
145,7,2,Lac 1,Tunis,house,0,5,False,True,False,2001,909022
232,5,3,Nabeul,Nabeul,apartment,8,3,False,False,False,2019,583526
418,6,4,Nabeul,Nabeul,villa,0,9,False,True,False,2011,1187828
236,3,1,Bizerte,Bizerte,house,0,4,True,True,False,2001,352653
282,3,4,Bizerte,Bizerte,apartment,8,7,False,False,False,2017,342235
272,4,3,Hammamet,Hammamet,apartment,9,5,True,False,False,1994,658707
445,1,4,Gafsa,Gafsa,apartment,4,4,False,False,False,2012,700252
106,7,1,Sousse,Sousse,villa,0,5,True,True,True,2003,703380
171,5,3,Bizerte,Bizerte,house,0,7,True,True,False,2018,212388
380,2,3,Sfax,Sfax,apartment,8,1,False,False,False,1996,607088
190,2,1,Nabeul,Nabeul,villa,0,2,False,False,True,2016,764534
243,5,1,Gafsa,Gafsa,apartment,4,6,True,False,False,2008,504380
414,1,2,Bizerte,Bizerte,apartment,3,1,False,False,False,1996,336499
350,4,4,Nabeul,Nabeul,villa,0,6,False,True,False,2020,1034510
413,6,3,Tataouine,Tataouine,apartment,9,3,False,False,False,1992,321148
190,2,4,Sfax,Sfax,house,0,4,True,False,False,2017,260387
366,7,1,Lac 2,Tunis,house,0,7,True,False,False,1990,1185027
397,6,1,Gafsa,Gafsa,apartment,0,9,True,False,False,2022,577920
166,6,2,Tataouine,Tataouine,villa,0,5,True,False,True,2005,549797
262,3,4,Carthage,Tunis,house,0,5,True,False,False,2008,1684437
490,2,3,Sousse,Sousse,villa,0,9,True,True,True,2003,3124342
464,1,1,Bizerte,Bizerte,apartment,5,6,False,False,False,1992,540096
490,3,4,Hammamet,Hammamet,house,0,8,False,True,False,2001,1875914
205,5,4,Gabès,Gabès,apartment,9,4,True,False,False,2015,425506
235,4,2,Bizerte,Bizerte,house,0,5,True,False,False,2016,333862
496,1,1,Tataouine,Tataouine,villa,0,1,True,True,False,2009,1039433
269,5,1,Gafsa,Gafsa,house,0,3,True,True,False,1995,780987
420,5,3,Nabeul,Nabeul,apartment,8,2,False,False,False,1999,817992
335,2,3,Sfax,Sfax,house,0,5,False,False,False,2022,408673
114,2,4,Kairouan,Kairouan,apartment,0,5,True,False,False,2015,82545
266,6,3,Ariana,Tunis,apartment,0,1,False,False,False,2023,360696
148,7,1,Sousse,Sousse,villa,0,5,False,True,True,1995,582856
246,7,1,Tataouine,Tataouine,apartment,5,3,True,False,False,2012,371125
102,5,2,Kairouan,Kairouan,apartment,9,3,False,False,False,2006,155692
127,1,2,Monastir,Monastir,apartment,0,3,False,False,False,2002,230530
498,1,4,Nabeul,Nabeul,house,0,2,False,True,False,2017,763983
121,7,2,Sousse,Sousse,villa,0,2,True,True,False,1992,642682
317,1,2,Gabès,Gabès,house,0,5,True,True,False,2019,594778
362,1,4,Monastir,Monastir,apartment,6,5,True,False,False,2010,418718
124,3,3,Kairouan,Kairouan,apartment,5,2,False,False,False,2023,158422
384,3,3,Gabès,Gabès,villa,0,2,True,True,True,2022,1480370
384,4,2,Hammamet,Hammamet,house,0,7,True,True,False,2006,644842
334,4,2,Carthage,Tunis,apartment,7,1,False,False,False,1999,1058112
389,5,2,Kairouan,Kairouan,villa,0,6,False,False,False,1991,562400
175,3,3,Kairouan,Kairouan,villa,0,3,False,False,False,2012,505512
385,7,3,Sfax,Sfax,villa,0,6,True,False,True,2005,1773079
437,4,4,Tataouine,Tataouine,villa,0,9,False,True,True,1992,1815938
204,5,4,Carthage,Tunis,house,0,2,True,False,False,2008,1018049
141,2,1,Hammamet,Hammamet,villa,0,6,True,True,False,2010,575842
50,5,1,Sousse,Sousse,house,0,2,True,False,False,2003,155282
331,1,3,Gafsa,Gafsa,house,0,9,False,True,False,2011,393053
105,6,3,Kairouan,Kairouan,house,0,1,True,False,False,2015,183799
306,1,3,Tataouine,Tataouine,apartment,3,8,False,False,False,2011,324360
77,7,2,Gafsa,Gafsa,villa,0,8,False,False,True,1991,167783
203,6,3,Kairouan,Kairouan,house,0,8,True,False,False,1996,404780
160,7,2,Sousse,Sousse,villa,0,2,True,True,False,2004,804323
168,5,4,Kairouan,Kairouan,apartment,9,7,False,False,False,2006,276057
135,2,2,Hammamet,Hammamet,house,0,9,True,True,False,2006,571134
261,1,4,Gabès,Gabès,villa,0,3,False,False,False,2007,342014
277,7,2,Centre Ville,Tunis,villa,0,2,True,False,True,1997,2237776
285,3,2,Kairouan,Kairouan,villa,0,9,True,False,True,1995,835252
331,2,3,Nabeul,Nabeul,villa,0,8,True,False,False,1995,1651557
338,5,2,Gabès,Gabès,house,0,5,True,True,False,1995,976443
161,4,2,Nabeul,Nabeul,house,0,8,True,False,False,1998,410872
436,3,3,Gafsa,Gafsa,villa,0,8,True,False,False,2013,1348788
55,2,4,Tataouine,Tataouine,house,0,4,False,True,False,2004,90919
167,1,2,Nabeul,Nabeul,apartment,7,6,True,False,False,1991,346351
252,2,3,Lac 1,Tunis,apartment,4,6,True,False,False,2015,1027177
373,3,4,Monastir,Monastir,house,0,1,False,True,False,2009,389161
189,7,1,Hammamet,Hammamet,house,0,6,False,False,False,2000,688156
405,5,3,Bizerte,Bizerte,apartment,2,1,True,False,False,1995,506557
59,5,3,Ariana,Tunis,villa,0,2,False,True,True,2002,453547
179,4,1,Monastir,Monastir,apartment,4,9,True,False,False,2006,236967
448,6,3,Sfax,Sfax,house,0,3,False,True,False,2019,982998
354,5,2,Sfax,Sfax,villa,0,2,False,True,True,2003,856524
186,2,4,Kairouan,Kairouan,apartment,2,3,True,False,False,1990,331072
369,6,4,Kairouan,Kairouan,apartment,7,9,True,False,False,2003,495006
340,5,1,Tataouine,Tataouine,apartment,4,3,False,False,False,2003,607376
111,4,1,Sfax,Sfax,apartment,9,9,False,False,False,2007,97236
377,7,4,Hammamet,Hammamet,house,0,3,False,True,False,2022,1194236
112,7,1,Kairouan,Kairouan,house,0,9,False,False,False,2006,238551
499,6,1,Gabès,Gabès,house,0,8,True,True,False,1995,1479915
116,7,3,Gabès,Gabès,house,0,8,True,False,False,2004,309839
206,1,4,Carthage,Tunis,villa,0,7,False,True,False,2016,994411
206,6,1,Sousse,Sousse,villa,0,1,False,False,False,2016,778680
338,6,4,Kairouan,Kairouan,house,0,6,True,False,False,1991,865530
54,3,2,Sfax,Sfax,house,0,1,False,True,False,2002,122440
352,4,1,Hammamet,Hammamet,villa,0,8,False,True,True,2004,2152770
185,5,1,Tataouine,Tataouine,apartment,3,2,False,False,False,2016,132312
164,3,4,Centre Ville,Tunis,apartment,3,5,True,False,False,2009,209223
303,2,4,Tataouine,Tataouine,apartment,5,6,False,False,False,1997,199252
352,2,2,Sfax,Sfax,house,0,8,True,False,False,2007,685741
160,4,3,Sfax,Sfax,house,0,4,False,True,False,1993,358026
425,5,4,Gabès,Gabès,house,0,1,False,False,False,2017,972842
442,6,3,Hammamet,Hammamet,house,0,8,True,True,False,2011,1256712
456,1,2,Monastir,Monastir,apartment,4,5,False,False,False,2015,891936
469,6,3,Ariana,Tunis,house,0,9,False,False,False,1990,1249275
420,7,1,Monastir,Monastir,house,0,9,False,False,False,1998,437236
485,1,1,Gafsa,Gafsa,house,0,9,False,False,False,2014,1223170
124,6,2,Sfax,Sfax,villa,0,7,True,False,False,2007,238859
467,3,1,Kairouan,Kairouan,villa,0,3,False,True,True,2013,792396
229,6,1,Hammamet,Hammamet,house,0,8,False,False,False,2022,348666
334,7,3,Tataouine,Tataouine,apartment,5,2,False,False,False,2010,500198
386,4,1,Gabès,Gabès,house,0,1,False,False,False,2009,984732
391,4,3,Sfax,Sfax,house,0,8,False,True,False,1996,878505
264,3,3,Tataouine,Tataouine,villa,0,8,False,True,False,2008,895314
81,6,1,Bizerte,Bizerte,villa,0,1,False,False,False,2018,126554
193,3,2,Gafsa,Gafsa,house,0,1,True,False,False,2003,462398
224,2,2,Nabeul,Nabeul,villa,0,6,False,False,True,2017,1217728
163,6,2,Sfax,Sfax,villa,0,3,True,False,False,1993,514353
462,7,3,Bizerte,Bizerte,house,0,3,False,True,False,2021,833488
415,2,4,Tataouine,Tataouine,house,0,1,False,True,False,2012,405445
337,2,3,Bizerte,Bizerte,apartment,7,1,False,False,False,1992,334843
304,5,4,Monastir,Monastir,apartment,5,9,True,False,False,1992,478544
146,4,3,Tataouine,Tataouine,house,0,8,True,True,False,2023,156960
137,6,4,Bizerte,Bizerte,villa,0,8,False,False,False,2005,246797
214,6,1,Bizerte,Bizerte,house,0,7,False,False,False,2007,179383
379,7,1,Kairouan,Kairouan,villa,0,7,False,False,True,2010,671175
161,5,3,Monastir,Monastir,house,0,4,True,False,False,2018,263542
131,2,1,Sousse,Sousse,apartment,4,4,False,False,False,2000,242874
435,3,3,Monastir,Monastir,villa,0,7,False,False,False,2001,1475172
310,5,2,Hammamet,Hammamet,villa,0,9,False,True,True,2023,1796322
477,3,4,Gabès,Gabès,villa,0,6,True,False,True,2013,1305126
251,6,4,Sousse,Sousse,apartment,6,1,False,False,False,2006,399090
58,2,1,Tataouine,Tataouine,house,0,9,False,True,False,1998,139405
284,6,4,Hammamet,Hammamet,villa,0,2,True,True,False,2012,1136471
124,6,2,Gafsa,Gafsa,villa,0,5,False,True,False,2023,361405
214,1,2,Kairouan,Kairouan,villa,0,7,True,True,True,2011,382192
362,7,2,Sousse,Sousse,apartment,7,2,True,False,False,2001,738914
443,5,1,Tataouine,Tataouine,villa,0,5,False,True,True,2017,1369250
171,6,4,Sfax,Sfax,apartment,1,6,True,False,False,1990,232409
230,4,3,Nabeul,Nabeul,apartment,9,5,True,False,False,2000,614086
60,4,1,Nabeul,Nabeul,apartment,6,8,True,False,False,2023,64562
160,6,2,Gafsa,Gafsa,apartment,4,8,False,False,False,2022,303488
288,4,3,Sousse,Sousse,apartment,2,4,False,False,False,2006,607219
414,3,2,Monastir,Monastir,house,0,9,False,False,False,2015,978662
122,1,4,Nabeul,Nabeul,house,0,1,False,True,False,1990,427078
110,3,4,Hammamet,Hammamet,house,0,9,True,True,False,1992,460017
278,4,4,Nabeul,Nabeul,house,0,3,False,False,False,2019,390745
403,4,3,Monastir,Monastir,villa,0,5,False,True,False,2006,720699
106,7,1,Kairouan,Kairouan,villa,0,8,True,False,False,2008,233997
130,7,1,Sfax,Sfax,house,0,6,False,True,False,2005,224418
249,1,2,Hammamet,Hammamet,apartment,8,9,False,False,False,2015,252784
337,2,4,Monastir,Monastir,house,0,7,True,False,False,2006,655047
135,2,3,Bizerte,Bizerte,house,0,5,True,False,False,1996,137985
420,2,3,Kairouan,Kairouan,villa,0,7,True,False,True,2018,1149993
272,6,4,Gabès,Gabès,house,0,7,True,False,False,2007,673056
152,1,2,Monastir,Monastir,house,0,8,True,False,False,2023,154365
342,3,4,Bizerte,Bizerte,villa,0,7,True,True,True,2012,859990
88,7,4,Kairouan,Kairouan,apartment,0,4,False,False,False,2018,125382
458,5,2,Hammamet,Hammamet,house,0,1,True,False,False,2005,969263
475,4,2,Nabeul,Nabeul,house,0,2,True,True,False,2023,1038152
300,7,1,Bizerte,Bizerte,house,0,2,True,True,False,2021,876035
276,3,3,Centre Ville,Tunis,villa,0,4,False,True,True,2018,1872322
367,5,4,Sousse,Sousse,villa,0,9,True,True,True,2005,2693578
285,7,1,Ariana,Tunis,apartment,9,9,True,False,False,2009,533263
114,6,1,Sousse,Sousse,apartment,2,8,True,False,False,2019,161307
195,6,1,Lac 1,Tunis,house,0,9,True,True,False,1990,1023602
122,7,1,Gafsa,Gafsa,villa,0,9,False,True,False,2013,340696
189,3,2,Sfax,Sfax,house,0,5,True,False,False,1995,331459
489,7,2,Gafsa,Gafsa,villa,0,8,True,False,True,2000,1811821
382,2,1,Hammamet,Hammamet,house,0,7,False,False,False,1993,1426632
121,4,1,Kairouan,Kairouan,apartment,5,5,True,False,False,1999,196165
275,1,2,Tataouine,Tataouine,house,0,9,True,False,False,1992,702702
310,6,3,Gafsa,Gafsa,villa,0,7,False,True,False,1998,943778
69,2,1,Tataouine,Tataouine,apartment,9,3,True,False,False,2007,49903
194,3,4,Nabeul,Nabeul,villa,0,3,True,False,True,2002,1111375
430,7,1,Bizerte,Bizerte,villa,0,9,True,True,False,1993,1559083
147,3,1,Monastir,Monastir,apartment,7,3,False,False,False,2017,278006
186,3,1,Gafsa,Gafsa,apartment,1,9,True,False,False,2004,131085
74,5,3,Gabès,Gabès,villa,0,2,True,True,True,2013,311519
87,3,1,Kairouan,Kairouan,villa,0,2,False,True,False,1995,115207
365,5,4,Hammamet,Hammamet,house,0,5,True,False,False,2002,832235
163,5,4,Tataouine,Tataouine,house,0,3,True,True,False,1992,468147
89,2,4,Sfax,Sfax,villa,0,1,True,False,True,1995,177562
196,4,1,Sfax,Sfax,house,0,9,True,False,False,2002,248705
94,1,1,Tataouine,Tataouine,apartment,9,4,True,False,False,2016,96410
237,7,1,Sousse,Sousse,apartment,9,9,False,False,False,2020,379389
475,2,4,Sousse,Sousse,villa,0,5,False,False,False,2019,2435724
464,2,4,Centre Ville,Tunis,villa,0,2,True,True,True,2003,2610937
61,7,2,Monastir,Monastir,house,0,1,True,False,False,2006,77203
272,2,4,Gabès,Gabès,villa,0,8,False,True,False,1995,545453
463,7,2,Bizerte,Bizerte,apartment,8,2,False,False,False,2017,507818
384,6,1,Gabès,Gabès,apartment,5,4,False,False,False,2009,394137
291,4,3,Kairouan,Kairouan,villa,0,1,False,True,True,2001,1028873
450,2,2,Gabès,Gabès,villa,0,1,False,False,False,2011,824904
169,3,2,Sfax,Sfax,apartment,1,4,False,False,False,2001,247416
78,3,1,Centre Ville,Tunis,apartment,5,3,False,False,False,2000,160173
75,2,2,Sousse,Sousse,apartment,1,4,True,False,False,2006,181629
446,1,3,Soukra,Tunis,villa,0,7,False,True,True,2018,1646237
124,4,4,Nabeul,Nabeul,villa,0,2,False,True,True,2003,730402
71,3,3,Gafsa,Gafsa,house,0,3,False,True,False,2006,179098
285,4,1,Sfax,Sfax,villa,0,5,False,True,False,2005,753001
492,4,2,Soukra,Tunis,villa,0,3,True,True,True,1994,4408049
306,2,4,Sousse,Sousse,villa,0,6,False,False,False,2004,1312005
494,3,4,Hammamet,Hammamet,villa,0,1,True,False,False,2014,1782543
61,2,3,Sousse,Sousse,apartment,7,9,True,False,False,2006,186616
358,7,3,Nabeul,Nabeul,villa,0,2,False,False,False,1996,917110
398,4,1,Nabeul,Nabeul,apartment,7,3,True,False,False,2009,1194023
64,1,2,Bizerte,Bizerte,apartment,6,1,False,False,False,2009,67584
215,1,4,Lac 2,Tunis,house,0,6,False,True,False,1991,1332488
121,3,4,Nabeul,Nabeul,villa,0,1,True,True,False,1997,323907
369,2,2,Sfax,Sfax,house,0,6,True,False,False,2021,326387
350,1,1,Monastir,Monastir,apartment,5,9,True,False,False,1997,463932
263,3,4,Hammamet,Hammamet,villa,0,9,False,True,False,2006,866719
426,6,4,Sousse,Sousse,villa,0,6,True,False,False,2011,860855
197,1,2,Bizerte,Bizerte,villa,0,8,True,False,True,2021,403099
402,2,1,Gabès,Gabès,villa,0,1,False,False,True,2002,1044531
165,2,2,Hammamet,Hammamet,villa,0,7,False,True,True,1991,1013697
408,2,2,Nabeul,Nabeul,house,0,2,True,False,False,2004,1198269
155,7,4,Gafsa,Gafsa,villa,0,1,True,False,False,2000,261545
172,6,1,Tataouine,Tataouine,apartment,5,9,False,False,False,2020,308086
90,2,4,Nabeul,Nabeul,villa,0,8,True,True,False,1997,480723
133,6,3,Soukra,Tunis,apartment,6,4,False,False,False,2005,338950
439,2,2,Sfax,Sfax,villa,0,3,True,False,True,2003,1527330
61,7,4,Sfax,Sfax,house,0,9,True,True,False,2008,175122
287,4,1,Gafsa,Gafsa,apartment,7,7,False,False,False,2021,253937
349,2,2,Kairouan,Kairouan,apartment,1,3,True,False,False,2011,395179
401,1,3,Kairouan,Kairouan,apartment,2,3,True,False,False,2018,683785
402,7,4,Hammamet,Hammamet,house,0,1,False,True,False,2019,660859
491,5,4,Nabeul,Nabeul,apartment,3,5,False,False,False,1993,902065
413,6,4,Gafsa,Gafsa,villa,0,8,True,True,True,2021,2178851
469,2,1,Sfax,Sfax,villa,0,2,False,False,True,1991,995615
467,4,2,Sfax,Sfax,apartment,6,3,False,False,False,2001,921297
286,2,4,Tataouine,Tataouine,villa,0,5,False,True,True,2004,981159
331,4,4,Tataouine,Tataouine,apartment,6,2,False,False,False,1994,477699
90,6,2,Hammamet,Hammamet,house,0,8,True,False,False,2014,281129
179,7,2,Gabès,Gabès,house,0,1,False,False,False,2014,153954
115,3,1,Hammamet,Hammamet,house,0,5,True,True,False,1990,465594
489,4,1,Lac 2,Tunis,villa,0,7,False,True,False,2020,4295023
59,3,2,Sousse,Sousse,house,0,9,False,False,False,1990,85781
325,3,4,Nabeul,Nabeul,villa,0,1,True,True,True,2009,2220889
170,3,1,Sfax,Sfax,house,0,5,True,True,False,2001,196852
354,1,4,Gafsa,Gafsa,apartment,7,6,False,False,False,2009,320865
179,1,3,Sousse,Sousse,house,0,5,False,True,False,2009,332044
334,1,3,Sousse,Sousse,villa,0,3,True,False,True,1995,1264439
294,3,1,Nabeul,Nabeul,villa,0,1,True,True,False,2003,1345919
325,5,2,Monastir,Monastir,apartment,7,2,True,False,False,2014,581217
334,1,3,Bizerte,Bizerte,villa,0,8,True,True,False,2012,1250450
343,4,3,Kairouan,Kairouan,house,0,4,True,False,False,2005,578689
429,7,4,Tataouine,Tataouine,villa,0,2,True,False,False,2010,601945
313,5,4,Hammamet,Hammamet,house,0,6,True,True,False,1994,1307267
135,7,2,Nabeul,Nabeul,apartment,0,7,True,False,False,2015,208542
463,2,2,Sousse,Sousse,villa,0,1,False,True,True,2015,3533812
352,1,4,Hammamet,Hammamet,villa,0,8,False,False,True,2014,1594315
338,1,3,Kairouan,Kairouan,apartment,4,5,True,False,False,2015,580048
499,2,4,Carthage,Tunis,villa,0,6,True,True,True,1998,5351432
218,1,4,Hammamet,Hammamet,villa,0,9,True,True,False,2002,1077943
373,2,1,Sousse,Sousse,house,0,6,False,True,False,1993,1559845
68,6,2,Monastir,Monastir,house,0,2,True,False,False,2002,133660
328,3,1,Tataouine,Tataouine,apartment,0,8,True,False,False,1996,667860
262,7,1,Nabeul,Nabeul,apartment,9,7,True,False,False,2004,566485
452,4,1,Bizerte,Bizerte,house,0,9,False,True,False,2022,570865
273,1,3,Gabès,Gabès,villa,0,6,True,False,False,2015,862701
404,6,2,Bizerte,Bizerte,house,0,2,True,False,False,1998,805572
134,2,4,Bizerte,Bizerte,villa,0,2,True,False,True,1995,376121
270,2,1,Bizerte,Bizerte,villa,0,5,True,True,False,2023,495317
342,7,4,Ariana,Tunis,villa,0,4,True,True,False,2004,898015
481,7,2,Sousse,Sousse,house,0,2,False,False,False,2010,904934
156,7,4,Gafsa,Gafsa,apartment,4,9,False,False,False,2000,106080
320,4,1,Nabeul,Nabeul,apartment,5,3,False,False,False,2023,828288
430,4,4,Monastir,Monastir,villa,0,5,False,False,True,2016,2005960
288,4,3,Tataouine,Tataouine,apartment,7,4,True,False,False,2019,600203
51,1,1,Bizerte,Bizerte,house,0,4,False,False,False,2015,114990
399,3,3,Nabeul,Nabeul,house,0,7,True,True,False,2002,688723
120,7,4,Sfax,Sfax,house,0,1,True,False,False,2009,298116
423,7,2,Sfax,Sfax,villa,0,1,False,True,False,2002,1129673
455,6,1,Gabès,Gabès,apartment,5,9,True,False,False,2015,504504
320,2,4,Sfax,Sfax,apartment,9,9,False,False,False,1997,243456
257,1,2,Gabès,Gabès,apartment,4,4,True,False,False,2013,287120
149,4,3,Gabès,Gabès,apartment,9,9,False,False,False,2007,204308
213,2,1,Kairouan,Kairouan,apartment,6,2,False,False,False,1994,253214
98,3,4,Nabeul,Nabeul,villa,0,2,True,False,False,2022,317837
198,1,2,Bizerte,Bizerte,villa,0,5,True,True,False,2004,401103
209,3,2,Sousse,Sousse,apartment,8,9,True,False,False,2014,413180
369,3,3,Hammamet,Hammamet,apartment,4,2,True,False,False,1992,1105162
423,5,3,Kairouan,Kairouan,house,0,9,False,False,False,2000,790976
329,4,2,Sousse,Sousse,apartment,2,4,False,False,False,2015,759990
91,7,1,Monastir,Monastir,house,0,4,True,False,False,2022,248330
436,1,4,Tataouine,Tataouine,villa,0,1,True,True,False,1995,887589
245,5,1,Gabès,Gabès,apartment,1,5,True,False,False,2016,197362
198,6,4,Tataouine,Tataouine,villa,0,2,True,True,True,1992,776159
349,5,2,Tataouine,Tataouine,house,0,3,True,False,False,2011,744303
264,4,2,Tataouine,Tataouine,house,0,6,False,True,False,2006,348224
335,4,4,Gafsa,Gafsa,villa,0,6,True,False,True,1994,1514494
336,7,1,Hammamet,Hammamet,apartment,6,9,True,False,False,2005,776865
194,4,4,Tataouine,Tataouine,apartment,3,3,True,False,False,2005,385400
286,7,4,Monastir,Monastir,apartment,2,8,False,False,False,1994,473844
413,1,1,Nabeul,Nabeul,house,0,5,False,True,False,2009,853993
280,1,1,Nabeul,Nabeul,apartment,5,4,True,False,False,2023,461462
191,4,1,Sousse,Sousse,house,0,7,True,True,False,1991,399206
390,2,3,Bizerte,Bizerte,apartment,8,9,True,False,False,1990,535298
229,6,3,Bizerte,Bizerte,villa,0,4,True,True,True,2007,549599
311,3,2,Bizerte,Bizerte,villa,0,6,False,False,True,2001,1200479
